Date,PRX,BTI,ANH,NPN,BHP,CFR,GLN,AGL,AMS,FSR,VOD,ANG,SBK,MNP,GFI,SLM,KIO,S32,CPI,SSW,MTN,IMP,BID,RMH,REM,ABG,SHP,DSY,OMU,RNI,APN,CLS,QLT,SOL,NRP,BVT,NED,NHM,ASR,MEI
2020-01-02,106850.0,60296.0,116505.0,233750.0,33346.0,11304.0,4467.0,40618.0,132856.0,6325.0,11602.0,31773.0,16880.0,32806.0,9400.0,7956.0,42088.0,2674.0,144841.0,4725.0,8365.0,14330.0,33472.0,8070.0,19505.0,15069.0,12525.0,12247.0,1959.0,28236.0,12230.0,25400.0,3010.0,30385.0,12565.0,20550.0,21751.0,12360.0,26909.0,7562.0
2020-01-03,106709.0,62209.0,118250.0,235400.0,33332.0,11157.0,4480.0,40559.0,134308.0,6231.0,11585.0,33610.0,16724.0,32834.0,9616.0,7969.0,41533.0,2665.0,144551.0,4198.0,8123.0,14843.0,33582.0,8072.0,19466.0,14961.0,12372.0,12260.0,1940.0,28708.0,12490.0,25504.0,3051.0,31200.0,12588.0,20563.0,21575.0,12751.0,26810.0,7583.0
2020-01-06,106500.0,62462.0,118885.0,234380.0,33293.0,10988.0,4413.0,40181.0,134720.0,6005.0,11408.0,33496.0,16339.0,32250.0,9687.0,7740.0,40751.0,2681.0,143250.0,3960.0,8039.0,14620.0,33101.0,7828.0,19125.0,14536.0,11998.0,11851.0,1903.0,28250.0,12033.0,25296.0,3027.0,31835.0,12424.0,20305.0,21155.0,12689.0,26268.0,7600.0
2020-01-07,108040.0,63650.0,118410.0,235810.0,33358.0,11211.0,4440.0,40064.0,133000.0,6040.0,11510.0,32220.0,16352.0,32481.0,9442.0,7783.0,40689.0,2753.0,143530.0,3841.0,8040.0,14500.0,33018.0,7810.0,19165.0,14158.0,12200.0,11815.0,1906.0,28900.0,12255.0,25474.0,3090.0,31535.0,12504.0,20408.0,21299.0,12707.0,26432.0,7557.0
2020-01-08,107693.0,64459.0,116181.0,232500.0,33529.0,11239.0,4464.0,40120.0,138341.0,6036.0,11500.0,31635.0,16436.0,32222.0,9345.0,7718.0,41051.0,2691.0,143250.0,3650.0,7961.0,15290.0,33017.0,7807.0,19148.0,14295.0,12229.0,11883.0,1905.0,29700.0,12000.0,25220.0,3100.0,31142.0,12500.0,20493.0,20982.0,13437.0,26178.0,7475.0
2020-01-09,109308.0,64431.0,116640.0,234119.0,33085.0,11146.0,4436.0,39773.0,133116.0,6066.0,11602.0,30675.0,16419.0,31734.0,8941.0,7772.0,40613.0,2699.0,144455.0,3147.0,7946.0,15031.0,33224.0,7764.0,19262.0,14438.0,12162.0,11926.0,1895.0,29497.0,11958.0,25573.0,3086.0,30296.0,12488.0,21650.0,21100.0,13302.0,26660.0,7433.0
2020-01-10,112623.0,64867.0,116550.0,237550.0,33239.0,11119.0,4455.0,40198.0,134594.0,6020.0,11710.0,30889.0,16487.0,30780.0,8832.0,7873.0,41000.0,2700.0,144426.0,3255.0,8367.0,14914.0,33537.0,7764.0,19277.0,14340.0,12000.0,12050.0,1917.0,29797.0,11980.0,25600.0,3058.0,31000.0,12530.0,21439.0,21139.0,13297.0,26268.0,7413.0
2020-01-13,113650.0,65111.0,116208.0,238903.0,33540.0,11237.0,4517.0,40719.0,136372.0,5932.0,11750.0,30787.0,16382.0,31091.0,8833.0,7754.0,41863.0,2776.0,143135.0,3346.0,8260.0,14752.0,33399.0,7652.0,19086.0,14092.0,11904.0,12025.0,1907.0,29243.0,11842.0,25600.0,3033.0,30850.0,12618.0,21476.0,21022.0,13445.0,26978.0,7534.0
2020-01-14,113625.0,65200.0,115908.0,242626.0,33938.0,11319.0,4557.0,40683.0,134500.0,6049.0,11879.0,29551.0,16805.0,30201.0,8734.0,7889.0,41271.0,2829.0,143361.0,3471.0,8296.0,14477.0,33691.0,7773.0,19300.0,14415.0,12175.0,12264.0,1969.0,29260.0,12000.0,25913.0,2996.0,30100.0,12742.0,21865.0,21436.0,13219.0,27700.0,7690.0
2020-01-15,113025.0,65199.0,115018.0,245000.0,33560.0,11542.0,4461.0,40295.0,135200.0,6063.0,11952.0,29682.0,16851.0,29820.0,8776.0,7851.0,40441.0,2801.0,143448.0,3472.0,8320.0,14542.0,33596.0,7886.0,19426.0,14335.0,12245.0,12725.0,1959.0,29445.0,11978.0,26641.0,2920.0,29075.0,12750.0,22209.0,21497.0,13464.0,27655.0,7666.0
