Date,PRX,ANH,NPN,BTI,GLN,CFR,BHP,AGL,AMS,FSR,VOD,SBK,KIO,IMP,SSW,CPI,MTN,MNP,S32,SOL,GFI,SLM,ANG,ABG,NHM,BID,SHP,DSY,NED,APN,PPH,OMU,BVT,CLS,REM,MCG,MRP,ARI,WHL,EXX
2021-01-04,159202.0,103934.0,303695.0,55100.0,4964.0,13462.0,40605.0,51374.0,151216.0,4950.0,12325.0,12434.0,66269.0,21629.0,6307.0,142630.0,6112.0,35135.0,2884.0,13295.0,14990.0,5761.0,36831.0,11829.0,21781.0,25981.0,13093.0,15415.0,12731.0,12520.0,1326.0,1164.0,15526.0,25368.0,9510.0,13301.0,16689.0,27553.0,3907.0,14894.0
2021-01-05,165757.0,105282.0,311667.0,56900.0,5105.0,13747.0,41750.0,52356.0,145650.0,4811.0,12299.0,12220.0,64285.0,20288.0,6270.0,138465.0,6263.0,35383.0,2854.0,13200.0,15471.0,5700.0,37810.0,11531.0,20490.0,26035.0,12753.0,15139.0,12335.0,12629.0,1302.0,1134.0,15081.0,25628.0,9516.0,13335.0,16458.0,27610.0,3837.0,14546.0
2021-01-06,165753.0,108600.0,310100.0,57834.0,5612.0,13615.0,44140.0,55970.0,146903.0,4878.0,12271.0,12400.0,65648.0,20436.0,6325.0,136430.0,6523.0,37079.0,2923.0,14382.0,15050.0,5660.0,36945.0,11679.0,20369.0,26642.0,13000.0,14603.0,12365.0,13171.0,1300.0,1152.0,15414.0,25543.0,9600.0,13299.0,16156.0,27285.0,3801.0,14741.0
2021-01-07,160297.0,110500.0,301375.0,58404.0,5777.0,14368.0,45777.0,58548.0,151000.0,5038.0,12601.0,12712.0,66982.0,20400.0,6394.0,141524.0,6883.0,39028.0,3075.0,16100.0,14869.0,5752.0,36561.0,11875.0,20662.0,28019.0,13321.0,14900.0,12760.0,13659.0,1292.0,1200.0,15452.0,25396.0,9820.0,13666.0,16027.0,28067.0,3819.0,15499.0
2021-01-08,160091.0,107658.0,307027.0,58130.0,5692.0,14348.0,45615.0,58217.0,149548.0,5231.0,13188.0,13118.0,66910.0,20644.0,6186.0,144213.0,6795.0,38813.0,3100.0,16834.0,14440.0,5951.0,35459.0,12198.0,21198.0,28610.0,13834.0,15166.0,13005.0,13860.0,1347.0,1206.0,15736.0,26241.0,10043.0,13987.0,16661.0,28850.0,4016.0,15761.0
2021-01-11,166366.0,107791.0,320258.0,58200.0,5702.0,14503.0,45434.0,57860.0,150071.0,5113.0,12986.0,12796.0,67357.0,20550.0,6207.0,143026.0,6712.0,38709.0,3100.0,16693.0,14550.0,5940.0,35981.0,11789.0,20943.0,28073.0,13737.0,14754.0,12515.0,13939.0,1322.0,1185.0,15644.0,26463.0,9902.0,13935.0,16132.0,28689.0,4010.0,15393.0
2021-01-12,164004.0,105820.0,319441.0,56847.0,5698.0,14725.0,45096.0,56704.0,147400.0,5128.0,12953.0,13000.0,66000.0,20555.0,6249.0,141877.0,6683.0,38709.0,3075.0,16835.0,14352.0,5900.0,35680.0,11820.0,20850.0,27091.0,13269.0,14743.0,12597.0,13794.0,1306.0,1200.0,15465.0,26350.0,9893.0,13900.0,16227.0,28405.0,4022.0,15140.0
2021-01-13,163300.0,105151.0,319878.0,57308.0,5805.0,14260.0,44679.0,56897.0,153290.0,4990.0,12932.0,12964.0,65616.0,21379.0,6316.0,137576.0,6687.0,38552.0,3155.0,17034.0,14363.0,5797.0,36050.0,11800.0,21700.0,27094.0,13447.0,14600.0,12460.0,14432.0,1338.0,1195.0,15631.0,26370.0,9982.0,13888.0,16159.0,29500.0,4094.0,15411.0
2021-01-14,169072.0,105302.0,333267.0,57121.0,5850.0,14264.0,45350.0,57500.0,151666.0,4934.0,12588.0,12800.0,65714.0,21175.0,6215.0,139000.0,6500.0,38071.0,3137.0,17100.0,13850.0,5755.0,34712.0,11651.0,20980.0,27006.0,13296.0,14053.0,12400.0,14457.0,1331.0,1200.0,15868.0,26734.0,10100.0,13641.0,16206.0,30432.0,3947.0,15294.0
2021-01-15,169886.0,103859.0,336492.0,57300.0,5824.0,14139.0,44420.0,55547.0,151731.0,4940.0,12399.0,12817.0,64700.0,21509.0,6271.0,140484.0,6457.0,37482.0,3069.0,16990.0,14000.0,5787.0,34898.0,11700.0,21000.0,26456.0,13496.0,14076.0,12490.0,14449.0,1343.0,1218.0,15744.0,27609.0,10119.0,13388.0,16278.0,28865.0,3875.0,15350.0
