Date,PRX,ANH,NPN,BTI,GLN,CFR,BHG,AGL,AMS,FSR,VOD,SBK,KIO,IMP,SSW,CPI,MTN,MNP,S32,SOL,GFI,SLM,ANG,ABG,NPH,BID,SHP,DSY,NED,APN,PPH,OMU,BVT,CLS,REM,MCG,MRP,ARI,WHL,EXX
2022-01-03,131583.0,99655.0,251152.0,59140.0,8126.0,23792.0,48958.0,64497.0,180356.0,6142.0,13480.0,14372.0,45432.0,21845.0,4912.0,203508.0,17204.0,39309.0,4700.0,26574.0,17120.0,5980.0,32359.0,15671.0,20850.0,32999.0,20900.0,14459.0,17843.0,21982.0,2205.0,1328.0,19076.0,31931.0,13214.0,12186.0,20033.0,22775.0,5206.0,15530.0
2022-01-04,133844.0,102603.0,257250.0,60300.0,8429.0,24520.0,48839.0,67220.0,185807.0,6155.0,13495.0,14518.0,45743.0,22889.0,5121.0,206000.0,16980.0,40478.0,4732.0,26410.0,17111.0,6088.0,32010.0,15957.0,21448.0,33458.0,20757.0,14669.0,18033.0,23349.0,2247.0,1368.0,19000.0,31919.0,13288.0,12028.0,20115.0,23619.0,5239.0,15984.0
2022-01-05,129547.0,100445.0,248359.0,59821.0,8369.0,24437.0,49892.0,67774.0,186215.0,6262.0,13570.0,14527.0,45700.0,23150.0,5178.0,208858.0,17491.0,40120.0,4640.0,26382.0,17068.0,6092.0,31934.0,16096.0,21500.0,33647.0,20949.0,14924.0,18595.0,23303.0,2275.0,1366.0,18990.0,31821.0,13370.0,12336.0,20040.0,24350.0,5239.0,16371.0
2022-01-06,124912.0,98505.0,239529.0,60300.0,8266.0,23944.0,50520.0,67439.0,184615.0,6275.0,13480.0,14495.0,46751.0,22180.0,4960.0,212826.0,17175.0,39515.0,4535.0,26361.0,15816.0,6061.0,30030.0,16404.0,21309.0,33583.0,21108.0,14737.0,18469.0,22680.0,2275.0,1360.0,18912.0,31511.0,13301.0,12240.0,20000.0,23878.0,5217.0,16287.0
2022-01-07,126200.0,97600.0,238904.0,59440.0,8373.0,23428.0,51228.0,68635.0,183451.0,6293.0,13241.0,14639.0,46300.0,22009.0,4978.0,213082.0,16710.0,39625.0,4430.0,26151.0,15753.0,6027.0,29630.0,16500.0,21596.0,33162.0,20908.0,14797.0,18500.0,22360.0,2290.0,1358.0,18960.0,31250.0,13157.0,12009.0,19830.0,23815.0,5230.0,16167.0
2022-01-10,125959.0,100978.0,237414.0,61400.0,8262.0,22689.0,52440.0,68993.0,179908.0,6343.0,13314.0,14700.0,45478.0,22235.0,5186.0,214900.0,16697.0,39676.0,4560.0,27067.0,16041.0,6153.0,29817.0,16501.0,21496.0,33264.0,20856.0,14755.0,18876.0,22060.0,2316.0,1390.0,19008.0,31285.0,13200.0,11976.0,19522.0,24300.0,5109.0,16161.0
2022-01-11,130980.0,100100.0,245198.0,61800.0,8108.0,22697.0,52730.0,67924.0,181880.0,6375.0,13300.0,14500.0,49793.0,23276.0,5555.0,215871.0,16306.0,39382.0,4640.0,26700.0,16399.0,6155.0,30940.0,16367.0,22816.0,32866.0,21014.0,14526.0,18490.0,22189.0,2275.0,1377.0,19033.0,30992.0,13079.0,11890.0,19746.0,24096.0,5187.0,16592.0
2022-01-12,139475.0,98763.0,268000.0,61800.0,8409.0,22634.0,52380.0,71372.0,188311.0,6426.0,13359.0,14702.0,51986.0,24055.0,5750.0,216176.0,16326.0,39877.0,4717.0,28540.0,16741.0,6204.0,31728.0,16261.0,22913.0,33291.0,20973.0,14520.0,18634.0,22686.0,2286.0,1367.0,19130.0,31327.0,13439.0,12075.0,20394.0,25028.0,5229.0,17200.0
2022-01-13,137971.0,101816.0,264397.0,62565.0,8625.0,22607.0,53264.0,70588.0,186269.0,6478.0,13534.0,14810.0,51984.0,23329.0,5707.0,217300.0,16335.0,40421.0,4790.0,28783.0,16735.0,6304.0,31678.0,16467.0,22055.0,32428.0,21070.0,14596.0,18841.0,22632.0,2350.0,1421.0,19158.0,30916.0,13575.0,12182.0,20781.0,24599.0,5276.0,17186.0
2022-01-14,136335.0,103416.0,260643.0,63600.0,8517.0,22218.0,52076.0,69788.0,179240.0,6450.0,13585.0,14768.0,49618.0,22453.0,5623.0,217370.0,16420.0,39469.0,4720.0,28739.0,16398.0,6320.0,31063.0,16242.0,21334.0,32246.0,20858.0,14833.0,18715.0,22553.0,2301.0,1439.0,19145.0,30714.0,13319.0,12207.0,20481.0,23760.0,5230.0,17254.0
