Date,BHG,PRX,ANH,BTI,GLN,NPN,AGL,FSR,AMS,GFI,SBK,VOD,S32,ANG,MTN,CPI,IMP,KIO,SOL,MNP,ABG,BID,SHP,SLM,SSW,NED,DSY,MEI,BVT,RNI,APN,INP,REM,NRP,NPH,CLS,WHL,EXX,HAR
2023-01-03,52461.0,123797.0,102322.0,68000.0,11320.0,299000.0,66550.0,6246.0,146869.0,18501.0,16809.0,12447.0,4590.0,34546.0,13070.0,187868.0,21551.0,49514.0,27000.0,29150.0,19611.0,33434.0,22784.0,4955.0,4686.0,21496.0,12552.0,10161.0,21622.0,32914.0,13670.0,10800.0,13500.0,10470.0,19146.0,27413.0,6790.0,21229.0,6150.0
2023-01-04,52200.0,128700.0,102960.0,68050.0,10483.0,305994.0,64637.0,6282.0,145500.0,19066.0,16863.0,12396.0,4609.0,35417.0,12950.0,189579.0,21222.0,49710.0,25861.0,29194.0,19631.0,33585.0,22969.0,5068.0,4653.0,21466.0,12806.0,10118.0,21523.0,32763.0,13726.0,10942.0,13401.0,10341.0,18822.0,27444.0,6815.0,19877.0,6342.0
2023-01-05,54173.0,128646.0,104127.0,68629.0,10479.0,303681.0,67595.0,6276.0,149661.0,19257.0,16877.0,12206.0,4720.0,35710.0,12974.0,186667.0,21815.0,52642.0,26768.0,30080.0,19600.0,33678.0,23198.0,5077.0,4758.0,21371.0,12973.0,10146.0,21653.0,32854.0,13881.0,11000.0,13285.0,10389.0,19400.0,27761.0,6785.0,21021.0,6388.0
2023-01-06,55700.0,130700.0,104195.0,69292.0,10837.0,313824.0,71216.0,6218.0,152770.0,20430.0,16676.0,12300.0,4934.0,36847.0,12988.0,187292.0,22529.0,53774.0,26995.0,30760.0,19458.0,34025.0,23129.0,5108.0,4975.0,20914.0,12938.0,10242.0,21623.0,33231.0,13990.0,10856.0,13340.0,10412.0,20350.0,27935.0,6788.0,21390.0,6740.0
2023-01-09,56136.0,135305.0,102850.0,67882.0,11188.0,326172.0,73043.0,6411.0,152261.0,20530.0,17125.0,12416.0,5214.0,37206.0,13000.0,191719.0,23170.0,53766.0,27793.0,30870.0,20153.0,34792.0,23554.0,5296.0,5060.0,21495.0,13359.0,10251.0,22104.0,33500.0,14278.0,10948.0,13637.0,10595.0,20683.0,28268.0,6902.0,21870.0,6776.0
2023-01-10,56360.0,135639.0,103108.0,66402.0,11125.0,323601.0,72000.0,6302.0,147375.0,20550.0,16978.0,12352.0,5228.0,37178.0,12890.0,189593.0,23243.0,53900.0,28003.0,30276.0,19847.0,35073.0,23880.0,5234.0,5142.0,21365.0,13194.0,10304.0,22059.0,33297.0,13986.0,11043.0,13565.0,10545.0,20443.0,28278.0,6925.0,22159.0,6773.0
2023-01-11,56540.0,138500.0,103410.0,65167.0,11130.0,332650.0,73205.0,6289.0,148214.0,20955.0,16841.0,12465.0,5252.0,37342.0,12987.0,190138.0,23256.0,54400.0,27825.0,30185.0,19613.0,34529.0,23797.0,5255.0,5128.0,21189.0,13088.0,10230.0,21971.0,33209.0,14154.0,10943.0,13500.0,10563.0,20500.0,28053.0,6888.0,21872.0,6844.0
2023-01-12,56619.0,135627.0,101449.0,64996.0,10933.0,328500.0,73216.0,6437.0,148243.0,20675.0,17264.0,12678.0,5235.0,37729.0,13411.0,193088.0,23243.0,54035.0,28325.0,30742.0,19837.0,35258.0,24362.0,5303.0,5054.0,21410.0,13294.0,10151.0,22211.0,32843.0,14183.0,10950.0,13624.0,10624.0,20658.0,27949.0,6894.0,21817.0,6863.0
2023-01-13,57650.0,139056.0,102718.0,64504.0,11390.0,336829.0,73375.0,6517.0,146408.0,21587.0,17233.0,12752.0,5297.0,39002.0,13567.0,194613.0,23474.0,53327.0,28773.0,30616.0,20057.0,35760.0,24396.0,5313.0,5168.0,21550.0,13402.0,10236.0,22369.0,32807.0,14300.0,10973.0,13546.0,10676.0,20452.0,28177.0,6975.0,21667.0,6950.0
2023-01-16,57307.0,137265.0,103800.0,64933.0,11520.0,330667.0,73825.0,6484.0,146007.0,21399.0,17220.0,12758.0,5434.0,38375.0,13025.0,193932.0,22607.0,51650.0,28935.0,31143.0,19939.0,35981.0,24191.0,5389.0,5060.0,21533.0,13505.0,10283.0,22352.0,33184.0,14653.0,11030.0,13736.0,10727.0,19448.0,28245.0,6882.0,21448.0,6890.0
