Date,BHG,PRX,ANH,BTI,GLN,NPN,AGL,FSR,AMS,GFI,SBK,VOD,S32,ANG,MTN,CPI,IMP,KIO,SOL,MNP,ABG,BID,SHP,SLM,SSW,NED,DSY,BVT,RNI,APN,INP,REM,NRP,NPH,CLS,WHL,EXX,HAR,OUT
2024-01-02,63180.0,54378.0,119072.0,54183.0,10960.0,305012.0,45552.0,7252.0,94344.0,26950.0,20701.0,10660.0,4183.0,34631.0,11530.0,201069.0,8604.0,60352.0,18281.0,39589.0,16165.0,42550.0,27400.0,7209.0,2480.0,21407.0,14295.0,25052.0,46558.0,20125.0,12496.0,15844.0,12620.0,13750.0,32400.0,7187.0,19885.0,11764.0,4229.0
2024-01-03,62200.0,55540.0,119817.0,55229.0,10781.0,308718.0,44000.0,7019.0,87805.0,25468.0,20287.0,10583.0,4187.0,33560.0,11400.0,197841.0,8065.0,60103.0,18210.0,39383.30078125,15776.0,41664.0,27000.0,7057.0,2365.0,20796.0,14149.0,24582.0,45506.0,20266.0,12321.0,15531.0,12578.0,12850.0,31592.0,7083.0,19558.0,11246.0,4177.0
2024-01-04,62040.0,56325.0,120320.0,55938.0,10884.0,312804.0,44574.0,7099.0,85822.0,24914.0,20362.0,10500.0,4078.0,33025.0,11308.0,194491.0,8021.0,59083.0,18400.0,39943.19921875,15688.0,41449.0,26600.0,7025.0,2340.0,20700.0,13993.0,23986.0,45632.0,20400.0,12579.0,15605.0,12580.0,12775.0,31300.0,6954.0,19407.0,11256.0,4137.0
2024-01-05,61504.0,55890.0,119906.0,56265.0,11049.0,307954.0,44700.0,7109.0,87723.0,24000.0,20532.0,10560.0,4098.0,32755.0,11303.0,196559.0,8389.0,58828.0,18528.0,39138.0,15802.0,41768.0,27141.0,7157.0,2390.0,20941.0,13990.0,23997.0,45251.0,20072.0,12489.0,15650.0,12392.0,13041.0,31150.0,7018.0,19662.0,11146.0,4123.0
2024-01-08,60614.0,55382.0,121464.0,56300.0,10770.0,304050.0,43409.0,7180.0,85840.0,23582.0,20623.0,10611.0,4083.0,32552.0,11123.0,199517.0,8100.0,57184.0,17947.0,39438.30078125,15736.0,41600.0,27632.0,7140.0,2326.0,21118.0,13972.0,24200.0,45000.0,20201.0,12477.0,15702.0,12405.0,12825.0,31808.0,7054.0,19527.0,10953.0,4100.0
2024-01-09,60000.0,54480.0,121100.0,56250.0,10612.0,298683.0,43132.0,7162.0,85162.0,22860.0,20744.0,10504.0,4192.0,31965.0,11198.0,196300.0,8049.0,57315.0,18145.0,39147.8984375,15925.0,41771.0,27235.0,7145.0,2357.0,21394.0,13856.0,24340.0,44700.0,20250.0,12344.0,15594.0,12300.0,12846.0,31462.0,7079.0,19683.0,10753.0,4092.0
2024-01-10,59619.0,54212.0,123199.0,56377.0,10687.0,293126.0,43820.0,7136.0,84700.0,23071.0,20686.0,10641.0,4240.0,31690.0,11132.0,197018.0,7780.0,55140.0,16839.0,38500.0,15887.0,42332.0,27250.0,7111.0,2295.0,21511.0,13797.0,24547.0,44222.0,20236.0,12381.0,15585.0,12140.0,12521.0,31425.0,7085.0,19889.0,10605.0,4097.0
2024-01-11,58991.0,55290.0,121450.0,55920.0,10615.0,300150.0,43820.0,7132.0,84200.0,23285.0,20678.0,10653.0,4416.0,31742.0,11222.0,198412.0,7662.0,55714.0,17189.0,37931.30078125,16177.0,42168.0,27002.0,7114.0,2291.0,21814.0,13800.0,24618.0,44134.0,20390.0,12620.0,15729.0,12052.0,12761.0,31237.0,6975.0,19948.0,10612.0,4055.0
2024-01-12,59157.0,55192.0,121050.0,55981.0,10660.0,299234.0,44137.0,7034.0,88332.0,24597.0,20851.0,10800.0,4465.0,32752.0,11189.0,200788.0,7729.0,55301.0,17756.0,37632.1015625,16281.0,43591.0,26838.0,7225.0,2396.0,21985.0,13800.0,24898.0,45300.0,20318.0,12671.0,15838.0,12029.0,12839.0,31000.0,6995.0,19700.0,11230.0,4099.0
2024-01-15,58292.0,54997.0,121868.0,55761.0,10600.0,297821.0,43540.0,6743.0,86254.0,25196.0,20369.0,10792.0,4384.0,32686.0,11100.0,197162.0,7544.0,55402.0,17203.0,37697.0,15921.0,43779.0,26820.0,7232.0,2297.0,21525.0,13632.0,25360.0,45000.0,20265.0,12762.0,15750.0,12108.0,12795.0,30871.0,7028.0,19433.0,11217.0,4146.0
